response_id,model_name,hypothesis_id,condition,has_unknown_player,unknown_players,has_extreme_number,num_extreme_numbers,extreme_details
H1_negative_Laura Wolvaardt_0__gpt-4__0__1763168205876,gpt-4,H1,negative,False,,False,0,
H1_negative_Laura Wolvaardt_0__gpt-4__1__1763168205955,gpt-4,H1,negative,False,,False,0,
H1_negative_Laura Wolvaardt_0__gpt-4__2__1763168206007,gpt-4,H1,negative,False,,False,0,
H1_positive_Laura Wolvaardt_0__gpt-4__0__1763168206062,gpt-4,H1,positive,False,,False,0,
H1_positive_Laura Wolvaardt_0__gpt-4__1__1763168206117,gpt-4,H1,positive,False,,False,0,
H1_positive_Laura Wolvaardt_0__gpt-4__2__1763168206172,gpt-4,H1,positive,False,,False,0,
H1_negative_Smriti Mandhana_1__gpt-4__0__1763168206228,gpt-4,H1,negative,False,,False,0,
H1_negative_Smriti Mandhana_1__gpt-4__1__1763168206284,gpt-4,H1,negative,False,,False,0,
H1_negative_Smriti Mandhana_1__gpt-4__2__1763168206337,gpt-4,H1,negative,False,,False,0,
H1_positive_Smriti Mandhana_1__gpt-4__0__1763168206389,gpt-4,H1,positive,False,,False,0,
H1_positive_Smriti Mandhana_1__gpt-4__1__1763168206440,gpt-4,H1,positive,False,,False,0,
H1_positive_Smriti Mandhana_1__gpt-4__2__1763168206494,gpt-4,H1,positive,False,,False,0,
H1_negative_Ashleigh Gardner_2__gpt-4__0__1763168206548,gpt-4,H1,negative,False,,False,0,
H1_negative_Ashleigh Gardner_2__gpt-4__1__1763168206603,gpt-4,H1,negative,False,,False,0,
H1_negative_Ashleigh Gardner_2__gpt-4__2__1763168206655,gpt-4,H1,negative,False,,False,0,
H1_positive_Ashleigh Gardner_2__gpt-4__0__1763168206710,gpt-4,H1,positive,False,,False,0,
H1_positive_Ashleigh Gardner_2__gpt-4__1__1763168206764,gpt-4,H1,positive,False,,False,0,
H1_positive_Ashleigh Gardner_2__gpt-4__2__1763168206815,gpt-4,H1,positive,False,,False,0,
H1_negative_Pratika Rawal_3__gpt-4__0__1763168206871,gpt-4,H1,negative,False,,False,0,
H1_negative_Pratika Rawal_3__gpt-4__1__1763168206926,gpt-4,H1,negative,False,,False,0,
H1_negative_Pratika Rawal_3__gpt-4__2__1763168206979,gpt-4,H1,negative,False,,False,0,
H1_positive_Pratika Rawal_3__gpt-4__0__1763168207030,gpt-4,H1,positive,False,,False,0,
H1_positive_Pratika Rawal_3__gpt-4__1__1763168207084,gpt-4,H1,positive,False,,False,0,
H1_positive_Pratika Rawal_3__gpt-4__2__1763168207137,gpt-4,H1,positive,False,,False,0,
H1_negative_Phoebe Litchfield_4__gpt-4__0__1763168207190,gpt-4,H1,negative,False,,False,0,
H1_negative_Phoebe Litchfield_4__gpt-4__1__1763168207246,gpt-4,H1,negative,False,,False,0,
H1_negative_Phoebe Litchfield_4__gpt-4__2__1763168207302,gpt-4,H1,negative,False,,False,0,
H1_positive_Phoebe Litchfield_4__gpt-4__0__1763168207357,gpt-4,H1,positive,False,,False,0,
H1_positive_Phoebe Litchfield_4__gpt-4__1__1763168207409,gpt-4,H1,positive,False,,False,0,
H1_positive_Phoebe Litchfield_4__gpt-4__2__1763168207461,gpt-4,H1,positive,False,,False,0,
H2_with_demographics_0__gpt-4__0__1763168207516,gpt-4,H2,with_demographics,False,,False,0,
H2_with_demographics_0__gpt-4__1__1763168207569,gpt-4,H2,with_demographics,False,,False,0,
H2_with_demographics_0__gpt-4__2__1763168207624,gpt-4,H2,with_demographics,False,,False,0,
H2_no_demographics_0__gpt-4__0__1763168207679,gpt-4,H2,no_demographics,False,,False,0,
H2_no_demographics_0__gpt-4__1__1763168207734,gpt-4,H2,no_demographics,False,,False,0,
H2_no_demographics_0__gpt-4__2__1763168207790,gpt-4,H2,no_demographics,False,,False,0,
H3_what_went_wrong_0__gpt-4__0__1763168207843,gpt-4,H3,what_went_wrong,False,,False,0,
H3_what_went_wrong_0__gpt-4__1__1763168207897,gpt-4,H3,what_went_wrong,False,,False,0,
H3_what_went_wrong_0__gpt-4__2__1763168207954,gpt-4,H3,what_went_wrong,False,,False,0,
H3_opportunities_exist_0__gpt-4__0__1763168208007,gpt-4,H3,opportunities_exist,False,,False,0,
H3_opportunities_exist_0__gpt-4__1__1763168208058,gpt-4,H3,opportunities_exist,False,,False,0,
H3_opportunities_exist_0__gpt-4__2__1763168208110,gpt-4,H3,opportunities_exist,False,,False,0,
H4_primed_0__gpt-4__0__1763168208165,gpt-4,H4,primed,False,,False,0,
H4_primed_0__gpt-4__1__1763168208220,gpt-4,H4,primed,False,,False,0,
H4_primed_0__gpt-4__2__1763168208272,gpt-4,H4,primed,False,,False,0,
H4_neutral_0__gpt-4__0__1763168208328,gpt-4,H4,neutral,False,,False,0,
H4_neutral_0__gpt-4__1__1763168208380,gpt-4,H4,neutral,False,,False,0,
H4_neutral_0__gpt-4__2__1763168208437,gpt-4,H4,neutral,False,,False,0,
H5_topline_summary_0__gpt-4__0__1763168208489,gpt-4,H5,topline_summary,False,,False,0,
H5_topline_summary_0__gpt-4__1__1763168208544,gpt-4,H5,topline_summary,False,,False,0,
H5_topline_summary_0__gpt-4__2__1763168208596,gpt-4,H5,topline_summary,False,,False,0,
H5_balanced_summary_0__gpt-4__0__1763168208652,gpt-4,H5,balanced_summary,False,,False,0,
H5_balanced_summary_0__gpt-4__1__1763168208707,gpt-4,H5,balanced_summary,False,,False,0,
H5_balanced_summary_0__gpt-4__2__1763168208762,gpt-4,H5,balanced_summary,False,,False,0,
